1995,yellow,Mcdonald Restrnt,543 6 Av,243-9298
1995,yellow,Mc Donald ‘s Restrnt,946 8 Av,586-6676
1995,yellow,Mcdonalds,3794 Bway,923-2222
1995,yellow,Mc Donalds,262 Canal,941-5823
1995,yellow,Mc Donalds,22 E 23,353-9140
1995,yellow,Mc Donald’s,3549 Bway,281-5330
1995,yellow,Mc Donald’s,102 1 Av,477-9171
1995,yellow,Mc Donald’s,404 E 14,598-0045
1995,yellow,Mcdonald’s,600 W 125,662-2965
1995,yellow,McDonald’s,4036 Bway,923-9582
1995,yellow,McDonald’s,4259 Bway,923-9506
1995,yellow,McDonald’s,638 Columbus Av,721-4348
1995,yellow,McDonald’s,39 Union Sq W,645-9079
1995,yellow,McDonalds,972 6 Av,279-2022
1995,yellow,Mc Donald’s ACNC Corp,14 E 47,697-8148
1995,yellow,McDonalds 40 Street ,556 7 Av,730-9237
1995,yellow,Mc Donalds Mc Delivery Svce,134 W 26,337-3278
1995,yellow,McDonald’s Of Greenwich Village,136 W 3,674-2566
1995,yellow,Mc Donald’s Of Harlem,215 W 125,663-8859
1995,yellow,Mc Donalds Restrnt,303 Greenwich,962-9218
1995,yellow,Mc Donalds Restrnt,809 6 Av,463-9495
1995,yellow,Mc Donald’s Restrnt,2549 Bway,863-9314
1995,yellow,Mc Donald’s Restrnt,1499 3 Av,628-8100
1995,yellow,Mcdonald’s Restrnt,556 7 Av,869-1918
1995,yellow,McDonald’s Restrnt,2049 Bway,724-0435
1995,yellow,McDonalds Restrnt,2549 Bway,864-8138
1995,yellow,McDonald’s Restrnt,208 Dyckman,304-1610
1995,yellow,McDonald’s Restrnt,427 10 Av,564-7115
1995,yellow,McDonald’s Restrnt,336 E 23,674-9027
1995,yellow,McDonald’s Restrnt,22 E 42,599-2127
1995,yellow,Mcdonalds Restaurant,1109 6 Av,827-0378
1995,yellow,Mcdonalds Restaurant,113 Nassau,285-9192
1995,yellow,Mcdonalds Restaurant,4 World Trade Ctr,432-7297
1995,yellow,Mc Donald’s Restaurant,541 6 Av,463-8860
1995,yellow,Mcdonald’s Restaurant,451 Lexington Av,661-1685
1995,yellow,Mcdonald’s Restaurant,1286 1 Av,249-3551
1995,yellow,McDonald’s Restaurant,638 Columbus Av,721-7509
1995,yellow,McDonald’s Restrnts,729 2 Av,686-7124
1995,yellow,Mc Donalds Restaurants,480 3 Av,532-8186
1995,yellow,Mcdonald’s One Sixty Bway,160 Bway,385-2063
