year, phonebook, name, address, phone_number, lat, lon
1995,yellow,McDonald’s,4259 Bway,923-9506,40.85009,-73.93625
1995,yellow,McDonald’s,638 Columbus Av,721-4348,40.78946,-73.97048
1995,yellow,McDonald’s,39 Union Sq W,645-9079,40.73708,-73.99081
1995,yellow,McDonalds,972 6 Av,279-2022,40.75079,-73.98673
1995,yellow,Mc Donald’s ACNC Corp,14 E 47,697-8148,40.75608,-73.97779
1995,yellow,McDonalds 40 Street ,556 7 Av,730-9237,40.75473,-73.98832
1995,yellow,Mc Donalds Mc Delivery Svce,134 W 26,337-3278,40.74526,-73.99309
1995,yellow,McDonald’s Of Greenwich Village,136 W 3,674-2566,40.73076,-74.00111
1995,yellow,Mc Donald’s Of Harlem,215 W 125,663-8859,40.80969,-73.94894
1995,yellow,Mc Donalds Restrnt,303 Greenwich,962-9218,40.71636,-74.01047
1995,yellow,Mc Donalds Restrnt,809 6 Av,463-9495,40.74604,-73.99092
1995,yellow,Mc Donald’s Restrnt,2549 Bway,863-9314,40.79442,-73.97246
1995,yellow,Mc Donald’s Restrnt,1499 3 Av,628-8100,40.77772,-73.95438
1995,yellow,Mcdonald’s Restrnt,556 7 Av,869-1918,40.75473,-73.98832
1995,yellow,McDonald’s Restrnt,2049 Bway,724-0435,40.7778,-73.98279
1995,yellow,McDonalds Restrnt,2549 Bway,864-8138,40.79442,-73.97246
1995,yellow,McDonald’s Restrnt,208 Dyckman,304-1610,40.86513,-73.9274
1995,yellow,McDonald’s Restrnt,427 10 Av,564-7115,40.75454,-74.0001
1995,yellow,McDonald’s Restrnt,336 E 23,674-9027,40.73696,-73.97945
1995,yellow,McDonald’s Restrnt,22 E 42,599-2127,40.75265,-73.98003
1995,yellow,Mcdonalds Restaurant,1109 6 Av,827-0378,40.75557,-73.98471
1995,yellow,Mcdonalds Restaurant,113 Nassau,285-9192,40.71088,-74.00737
1995,yellow,Mcdonalds Restaurant,4 World Trade Ctr,432-7297,40.71164,-74.01234
1995,yellow,Mc Donald’s Restaurant,541 6 Av,463-8860,40.73791,-73.99685
1995,yellow,Mcdonald’s Restaurant,451 Lexington Av,661-1685,40.75308,-73.97455
1995,yellow,Mcdonald’s Restaurant,1286 1 Av,249-3551,40.76589,-73.95697
1995,yellow,McDonald’s Restaurant,638 Columbus Av,721-7509,40.78946,-73.97048
1995,yellow,McDonald’s Restrnts,729 2 Av,686-7124,40.74826,-73.97372
1995,yellow,Mc Donalds Restaurants,480 3 Av,532-8186,40.74497,-73.97908
1995,yellow,Mcdonald’s One Sixty Bway,160 Bway,385-2063,40.7093,-74.00976
