year, phonebook, name, address, phone_number, lat, lon
1990,white,Mc Donalds ,996 3 Av,753-5360,40.762218,-73.967174
1990,white,Mc Donalds ,1872 3 Av,996-2864,40.790048,-73.946243
1990,white,MCDONALDS,972 6 Av,279-2022,40.750789,-73.986731
1990,white,Mc Donald’s,972 6 Av,502-4563,40.750789,-73.986731
1990,white,Mc Donald’s,427 10 Av,502-5095,40.754529,-74.000106
1990,white,Mc Donalds,22 E 23,353-9??0,40.740546,-73.988087
1995,yellow,Mcdonald Restrnt,543 6 Av,243-9298,40.737916,-73.996851
1995,yellow,Mc Donald ‘s Restrnt,946 8 Av,586-6676,40.765816,-73.983127
1995,yellow,Mcdonalds,3794 Bway,923-2222,40.834362,-73.944214
1995,yellow,Mc Donalds,262 Canal,941-5823,40.718528,-74.001145
1995,yellow,Mc Donalds,22 E 23,353-9140,40.740546,-73.988087
1995,yellow,Mc Donald’s,3549 Bway,281-5330,40.826848,-73.950671
1995,yellow,Mc Donald’s,102 1 Av,477-9171,40.726453,-73.985845
1995,yellow,Mc Donald’s,404 E 14,598-0045,40.730813,-73.982432
1995,yellow,Mcdonald’s,600 W 125,662-2965,40.81581,-73.95884
1995,yellow,McDonald’s,4036 Bway,923-9582,40.84194,-73.938811
1995,yellow,McDonald’s,4259 Bway,923-9506,40.850096,-73.93624
1995,yellow,McDonald’s,638 Columbus Av,721-4348,40.789635,-73.970197
1995,yellow,McDonald’s,39 Union Sq W,645-9079,40.737061,-73.990742
1995,yellow,McDonalds,972 6 Av,279-2022,40.750789,-73.986731
1995,yellow,Mc Donald’s ACNC Corp,14 E 47,697-8148,40.756087,-73.977797
1995,yellow,McDonalds 40 Street ,556 7 Av,730-9237,40.75473,-73.988316
1995,yellow,Mc Donalds Mc Delivery Svce,134 W 26,337-3278,40.745279,-73.99308
1995,yellow,McDonald’s Of Greenwich Village,136 W 3,674-2566,40.730737,-74.001112
1995,yellow,Mc Donald’s Of Harlem,215 W 125,663-8859,40.809708,-73.948933
1995,yellow,Mc Donalds Restrnt,303 Greenwich,962-9218,40.716359,-74.010664
1995,yellow,Mc Donalds Restrnt,809 6 Av,463-9495,40.746047,-73.990929
1995,yellow,Mc Donald’s Restrnt,2549 Bway,863-9314,40.79444,-73.97249
1995,yellow,Mc Donald’s Restrnt,1499 3 Av,628-8100,40.777727,-73.954377
1995,yellow,Mcdonald’s Restrnt,556 7 Av,869-1918,40.75473,-73.988316
1995,yellow,McDonald’s Restrnt,2049 Bway,724-0435,40.777772,-73.982732
1995,yellow,McDonalds Restrnt,2549 Bway,864-8138,40.79444,-73.97249
1995,yellow,McDonald’s Restrnt,208 Dyckman,304-1610,40.865133,-73.927407
1995,yellow,McDonald’s Restrnt,427 10 Av,564-7115,40.754529,-74.000106
1995,yellow,McDonald’s Restrnt,336 E 23,674-9027,40.736964,-73.979443
1995,yellow,McDonald’s Restrnt,22 E 42,599-2127,40.752656,-73.980103
1995,yellow,Mcdonalds Restaurant,1109 6 Av,827-0378,40.755566,-73.984708
1995,yellow,Mcdonalds Restaurant,113 Nassau,285-9192,40.710894,-74.007377
1995,yellow,Mcdonalds Restaurant,4 World Trade Ctr,432-7297,40.710308,-74.011979
1995,yellow,Mc Donald’s Restaurant,541 6 Av,463-8860,40.737916,-73.996851
1995,yellow,Mcdonald’s Restaurant,451 Lexington Av,661-1685,40.75308,-73.974546
1995,yellow,Mcdonald’s Restaurant,1286 1 Av,249-3551,40.765841,-73.957006
1995,yellow,McDonald’s Restaurant,638 Columbus Av,721-7509,40.789635,-73.970197
1995,yellow,McDonald’s Restrnts,729 2 Av,686-7124,40.74826,-73.97372
1995,yellow,Mc Donalds Restaurants,480 3 Av,532-8186,40.744978,-73.979083
1995,yellow,Mcdonald’s One Sixty Bway,160 Bway,385-2063,40.709384,-74.010023
1996,yellow btb,Mcdonald Restrnt,543 6 Av,243-9298,40.737916,-73.996851
1996,yellow btb,Mc Donald ‘s Restrnt,946 8 Av,586-6676,40.765816,-73.983127
1996,yellow btb,Mcdonalds,3794 Broadway,923-2222,40.834362,-73.944214
1996,yellow btb,Mc Donalds,262 Canal,941-5823,40.718528,-74.001145
1996,yellow btb,Mc Donalds,22 E 23,353-9140,40.740546,-73.988087
1996,yellow btb,Mc Donald’s,3549 Broadway,281-5330,40.826848,-73.950671
1996,yellow btb,Mc Donald’s,102 1 Av,477-9171,40.726453,-73.985845
1996,yellow btb,Mc Donald’s,404 E 14,598-0045,40.730813,-73.982432
1996,yellow btb,Mc Donald’s,14 E 47,697-8148,40.756087,-73.977797
1996,yellow btb,Mcdonald’s,600 W 125,662-2965,40.81581,-73.95884
1996,yellow btb,McDonald’s,4036 Bway,923-9582,40.84194,-73.938811
1996,yellow btb,McDonald’s,4259 Bway,923-9506,40.850096,-73.93624
1996,yellow btb,McDonald’s,39 Union Sq W,645-9079,40.737061,-73.990742
1996,yellow btb,McDonalds,972 6 Av,279-2022,40.750789,-73.986731
1996,yellow btb,McDonalds 40 Street,556 7 Av,730-8237,40.75473,-73.988316
1996,yellow btb,MC DONALDS MC DELIVERY SVCE See Our Display Ad Page 1254,134 W 26,337-3278,40.745279,-73.99308
1996,yellow btb,Mc Donalds Mc Delivery Svce,134 W 26,337-3278,40.745279,-73.99308
1996,yellow btb,Mc Donalds Mc Delivery Svce See NYNEX Coupons Section,,337-3278,40.730737,-74.001112
